audience_percent,critic_percent,title,audience_number,critic_number,release_year,genre,runtime,differential,bubble_width
43,34,Paul Blart: Mall Cop,250000,117,2009.0,Comedy,1:31,-9,19.616257942185833
38,37,Surrogates,250000,117,2009.0,Sci fi/Action,1:28,-1,19.616257942185833
49,51,Mr. Bean's Holiday,250000,115,2007.0,Comedy,1:28,2,19.406005504006643
40,23,Planet 51,250000,110,2009.0,Comedy/Animation,1:31,-17,18.874281508207943
64,28,Alvin and the Chipmunks,250000,109,2007.0,Kids and family/Comedy,1:31,-36,18.76685771072333
31,19,Legion,250000,105,2010.0,Mystery and thriller/Horror,1:44,-12,18.333412575379587
57,16,Hitman,250000,105,2007.0,Action/Mystery and thriller,1:33,-41,18.333412575379587
45,17,The Haunting in Connecticut,250000,105,2009.0,Horror/Mystery and thriller,1:32,-28,18.333412575379587
80,25,P.S. I Love You,250000,104,2007.0,Comedy/Drama,2:06,-55,18.22408939365073
69,29,The Game Plan,250000,103,2007.0,Kids and family/Comedy,1:50,-40,18.1143712989759
58,25,Resident Evil: Extinction,250000,101,2007.0,Action/Horror,1:34,-33,17.893729120895756
35,28,The Final Destination,250000,100,2009.0,Horror/Mystery and thriller,1:22,-7,17.78279410038923
30,48,The Ruins,250000,97,2008.0,Horror/Mystery and thriller,1:31,18,17.447464924548626
30,18,Dance Flick,250000,96,2009.0,Comedy,1:23,-12,17.334827353454408
46,19,Obsessed,250000,90,2009.0,Drama/Mystery and thriller,1:48,-27,16.64951428545866
44,56,Quarantine,250000,86,2008.0,Horror/Mystery and thriller,1:29,12,16.183093078793917
70,35,Sydney White,250000,85,2007.0,Comedy,1:48,-35,16.06522559818003
49,20,Alvin and the Chipmunks: The Squeakquel,250000,84,2009.0,Comedy/Kids and family,1:29,-29,15.946836950911226
34,23,Never Back Down,250000,84,2008.0,Action,1:54,-11,15.946836950911226
62,19,Saw IV,250000,84,2007.0,Horror/Mystery and thriller,1:32,-43,15.946836950911226
39,30,Gamer,250000,81,2009.0,Sci fi/Action,1:35,-9,15.588457268119896
45,21,Halloween II,250000,80,2009.0,Mystery and thriller/Horror,1:45,-24,15.467895945971296
43,22,The Eye,250000,78,2008.0,Horror/Mystery and thriller,1:37,-21,15.225063992104127
